client,nr_visits,continuity,cci,bice_cci
H015,88,67,0.0181,0.0068
H025,84,62,0.0196,0.0077
H026,241,124,0.0128,0.0087
H027,6,6,0.1667,0.0000
H029,117,77,0.0201,0.0116
H031,6,6,0.1667,0.0000
H034,84,66,0.0181,0.0063
H035,240,119,0.0132,0.0091
H037,84,65,0.0181,0.0063
H038,100,76,0.0174,0.0075
H039,86,56,0.0260,0.0145
H041,128,85,0.0165,0.0087
H047,60,48,0.0239,0.0073
H048,60,49,0.0239,0.0073
H053,77,58,0.0207,0.0079
H055,186,111,0.0123,0.0069
H061,1,1,1.0000,
H072,100,74,0.0170,0.0071
H077,25,24,0.0432,0.0033
H081,64,55,0.0205,0.0050
H086,190,107,0.0126,0.0074
H087,3,3,0.3333,0.0000
H092,76,57,0.0215,0.0084
H095,165,104,0.0123,0.0063
H096,70,56,0.0204,0.0062
H097,167,106,0.0133,0.0074
H107,44,40,0.0279,0.0053
H113,8,8,0.1250,0.0000
H114,56,48,0.0236,0.0058
H125,66,53,0.0234,0.0084
H145,165,103,0.0129,0.0069
H154,152,90,0.0154,0.0089
H155,31,28,0.0385,0.0065
H157,98,73,0.0165,0.0063
H160,4,4,0.2500,0.0000
H164,1,1,1.0000,
H172,116,70,0.0207,0.0121
H181,31,27,0.0406,0.0086
H182,193,108,0.0126,0.0075
H194,4,4,0.2500,0.0000
H200,68,53,0.0216,0.0070
H230,31,29,0.0364,0.0043
H235,44,36,0.0320,0.0095
H238,168,104,0.0132,0.0073
H239,56,50,0.0236,0.0058
H240,2,2,0.5000,0.0000
H243,66,52,0.0234,0.0084
H244,112,71,0.0199,0.0111
H248,184,103,0.0141,0.0087
H269,20,19,0.0550,0.0053
H270,93,65,0.0205,0.0098
H284,108,70,0.0207,0.0116
H287,2,2,0.5000,0.0000
H288,18,17,0.0617,0.0065
H289,10,9,0.1200,0.0222
H290,180,116,0.0113,0.0058
H293,114,72,0.0191,0.0104
H295,8,8,0.1250,0.0000
H297,2,2,0.5000,0.0000
H299,20,20,0.0500,0.0000
H300,119,82,0.0159,0.0075
H301,128,82,0.0167,0.0090
H302,78,62,0.0207,0.0080
H312,2,2,0.5000,0.0000
H314,58,45,0.0268,0.0097
H315,120,76,0.0176,0.0094
H322,138,91,0.0149,0.0077
H323,193,104,0.0139,0.0088
H324,94,65,0.0197,0.0092
H326,4,4,0.2500,0.0000
H327,108,85,0.0146,0.0054
H328,4,4,0.2500,0.0000
H331,102,75,0.0165,0.0068
H332,165,103,0.0125,0.0064
H333,6,6,0.1667,0.0000
H334,39,35,0.0335,0.0081
H335,12,11,0.0972,0.0152
H337,124,77,0.0174,0.0094
H339,1,1,1.0000,
H341,1,1,1.0000,
H342,1,1,1.0000,
H346,3,3,0.3333,0.0000
H349,88,67,0.0183,0.0071
H351,151,88,0.0146,0.0080
H354,120,76,0.0185,0.0102
H355,10,10,0.1000,0.0000
H357,4,4,0.2500,0.0000
H358,6,6,0.1667,0.0000
H360,88,69,0.0168,0.0055
H361,2,2,0.5000,0.0000
H362,73,62,0.0182,0.0046
H363,180,107,0.0135,0.0079
H364,2,2,0.5000,0.0000
H365,176,101,0.0133,0.0077
H366,38,35,0.0305,0.0043
H367,60,45,0.0272,0.0107
H369,132,83,0.0164,0.0089
HN01_r637_1,1,1,1.0000,
HN01_r637_2,1,1,1.0000,
HN02_r638_1,1,1,1.0000,
HN03_r639_1,1,1,1.0000,
HN03_r639_2,1,1,1.0000,
HN04_r640_1,1,1,1.0000,
HN04_r640_2,1,1,1.0000,
HN05_r641_1,1,1,1.0000,
HN07_r642_1,1,1,1.0000,
HN07_r642_2,1,1,1.0000,
HN08_r643_1,1,1,1.0000,
HN12_r644_1,1,1,1.0000,
HN12_r644_2,1,1,1.0000,
HN13_r645_1,1,1,1.0000,
HN13_r645_10,1,1,1.0000,
HN13_r645_11,1,1,1.0000,
HN13_r645_12,1,1,1.0000,
HN13_r645_13,1,1,1.0000,
HN13_r645_14,1,1,1.0000,
HN13_r645_15,1,1,1.0000,
HN13_r645_16,1,1,1.0000,
HN13_r645_17,1,1,1.0000,
HN13_r645_18,1,1,1.0000,
HN13_r645_19,1,1,1.0000,
HN13_r645_2,1,1,1.0000,
HN13_r645_20,1,1,1.0000,
HN13_r645_3,1,1,1.0000,
HN13_r645_4,1,1,1.0000,
HN13_r645_5,1,1,1.0000,
HN13_r645_6,1,1,1.0000,
HN13_r645_7,1,1,1.0000,
HN13_r645_8,1,1,1.0000,
HN13_r645_9,1,1,1.0000,
HN13_r646_1,1,1,1.0000,
HN13_r646_2,1,1,1.0000,
HN13_r646_3,1,1,1.0000,
HN13_r646_4,1,1,1.0000,
HN13_r646_5,1,1,1.0000,
HN13_r646_6,1,1,1.0000,
HN13_r646_7,1,1,1.0000,
HN13_r646_8,1,1,1.0000,
HN13_r647_1,1,1,1.0000,
HN13_r647_2,1,1,1.0000,
HN13_r647_3,1,1,1.0000,
HN13_r647_4,1,1,1.0000,
HN13_r648_1,1,1,1.0000,
HN13_r649_1,1,1,1.0000,
HN13_r649_2,1,1,1.0000,
HN13_r649_3,1,1,1.0000,
HN13_r649_4,1,1,1.0000,
HN13_r649_5,1,1,1.0000,
HN13_r649_6,1,1,1.0000,
HN13_r649_7,1,1,1.0000,
HN13_r649_8,1,1,1.0000,
HN13_r650_1,1,1,1.0000,
HN13_r650_10,1,1,1.0000,
HN13_r650_11,1,1,1.0000,
HN13_r650_12,1,1,1.0000,
HN13_r650_13,1,1,1.0000,
HN13_r650_14,1,1,1.0000,
HN13_r650_15,1,1,1.0000,
HN13_r650_16,1,1,1.0000,
HN13_r650_17,1,1,1.0000,
HN13_r650_18,1,1,1.0000,
HN13_r650_19,1,1,1.0000,
HN13_r650_2,1,1,1.0000,
HN13_r650_20,1,1,1.0000,
HN13_r650_3,1,1,1.0000,
HN13_r650_4,1,1,1.0000,
HN13_r650_5,1,1,1.0000,
HN13_r650_6,1,1,1.0000,
HN13_r650_7,1,1,1.0000,
HN13_r650_8,1,1,1.0000,
HN13_r650_9,1,1,1.0000,
HN13_r651_1,1,1,1.0000,
HN13_r651_2,1,1,1.0000,
HN13_r651_3,1,1,1.0000,
HN13_r651_4,1,1,1.0000,
HN13_r652_1,1,1,1.0000,
HN13_r652_2,1,1,1.0000,
HN13_r653_1,1,1,1.0000,
HN13_r653_10,1,1,1.0000,
HN13_r653_11,1,1,1.0000,
HN13_r653_12,1,1,1.0000,
HN13_r653_13,1,1,1.0000,
HN13_r653_14,1,1,1.0000,
HN13_r653_15,1,1,1.0000,
HN13_r653_16,1,1,1.0000,
HN13_r653_17,1,1,1.0000,
HN13_r653_18,1,1,1.0000,
HN13_r653_19,1,1,1.0000,
HN13_r653_2,1,1,1.0000,
HN13_r653_20,1,1,1.0000,
HN13_r653_21,1,1,1.0000,
HN13_r653_22,1,1,1.0000,
HN13_r653_23,1,1,1.0000,
HN13_r653_24,1,1,1.0000,
HN13_r653_25,1,1,1.0000,
HN13_r653_26,1,1,1.0000,
HN13_r653_27,1,1,1.0000,
HN13_r653_28,1,1,1.0000,
HN13_r653_3,1,1,1.0000,
HN13_r653_4,1,1,1.0000,
HN13_r653_5,1,1,1.0000,
HN13_r653_6,1,1,1.0000,
HN13_r653_7,1,1,1.0000,
HN13_r653_8,1,1,1.0000,
HN13_r653_9,1,1,1.0000,
HN13_r654_1,1,1,1.0000,
HN13_r654_10,1,1,1.0000,
HN13_r654_11,1,1,1.0000,
HN13_r654_12,1,1,1.0000,
HN13_r654_13,1,1,1.0000,
HN13_r654_14,1,1,1.0000,
HN13_r654_15,1,1,1.0000,
HN13_r654_16,1,1,1.0000,
HN13_r654_17,1,1,1.0000,
HN13_r654_18,1,1,1.0000,
HN13_r654_19,1,1,1.0000,
HN13_r654_2,1,1,1.0000,
HN13_r654_20,1,1,1.0000,
HN13_r654_21,1,1,1.0000,
HN13_r654_22,1,1,1.0000,
HN13_r654_23,1,1,1.0000,
HN13_r654_24,1,1,1.0000,
HN13_r654_25,1,1,1.0000,
HN13_r654_26,1,1,1.0000,
HN13_r654_27,1,1,1.0000,
HN13_r654_28,1,1,1.0000,
HN13_r654_3,1,1,1.0000,
HN13_r654_4,1,1,1.0000,
HN13_r654_5,1,1,1.0000,
HN13_r654_6,1,1,1.0000,
HN13_r654_7,1,1,1.0000,
HN13_r654_8,1,1,1.0000,
HN13_r654_9,1,1,1.0000,
HN15_r655_1,1,1,1.0000,
HN15_r655_2,1,1,1.0000,
HN16_r656_1,1,1,1.0000,
